group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1302198200.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1333613000.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1210099900.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1340823000.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1288411800.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1172701500.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1375746900.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1322058000.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1181816000.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1401864600.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1276910700.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1201942300.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1494849700.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1270052600.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1181753500.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1374192600.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1244280600.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1187549500.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1442312500.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1313969500.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1285567100.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1228055100.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1379407300.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1288155300.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1330774800.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1393627000.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1270488200.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1193629800.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1432109100.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1370769800.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1193381900.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1544651900.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1264456600.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1185206100.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1314097000.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1196840400.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1577697600.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1182783200.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1336070800.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1232961500.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1177313400.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1418823000.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1245642100.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1198594000.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1275179500.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1186755600.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1361020000.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1260699000.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1190680300.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1225544500.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1282248400.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1359963000.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1279697200.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1272745100.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1270864000.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1170445300.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1447916100.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1306222800.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1204613600.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1349805200.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1306072900.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1170101900.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1406204200.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1459369000.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1331945400.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1541115600.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1397566900.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1407897800.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1195187200.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1450284800.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1269893700.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1255088000.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1392937800.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1388059300.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1080514300.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1463978000.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1443555000.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1297210200.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1171112200.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1304325500.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1305316900.0,ns,1
benchmarks,create_bundle_from_data_items,838860800,16777216,bytes,1208487400.0,ns,1
