group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,361238400.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,359637500.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,358570800.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,360595800.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,356565200.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,363577500.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,365380700.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,358334100.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,365146000.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,372521600.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,371469300.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,431421300.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,415720900.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,402069400.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,407300400.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,424882800.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,516637500.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,494078600.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,461377800.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,457486900.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,473754200.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,478914100.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,462549600.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,464614900.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,486802500.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,480034200.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,511456300.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,503571000.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,527016700.0,ns,1
benchmarks,create_data_items_in_parallel,16384000,32768,bytes,668561900.0,ns,1
