group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
benchmarks,create_data_item,1048576,1048576,bytes,51247600.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49329000.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49413900.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49463700.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49570000.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,51113300.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,50333200.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49288200.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49954200.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49588300.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49579500.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49767600.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49320500.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49440000.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49372600.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49614300.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,55964100.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,51860500.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,50083300.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,50722200.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,50078600.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49626900.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49382100.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49558300.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49833800.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49446700.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49624000.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,50143600.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,50285400.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49734800.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49468700.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,50158800.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49559400.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49825800.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49779300.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49523600.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,55339700.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,50319200.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,50177900.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,51093700.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,50062800.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49502600.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49667100.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49630200.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49405100.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49392400.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49551100.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49395800.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49734900.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49358900.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49982100.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49668500.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49407300.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,50465400.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,52642900.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,50744100.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,55412700.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,51578600.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,50245500.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,50597100.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49995000.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,50007300.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49534400.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49651800.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49689600.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49364900.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49423100.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49373800.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49807500.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49007000.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49398200.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,51906600.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49618300.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49042600.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49311400.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49727100.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,55282800.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,50326100.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,50208100.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,50670400.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,50521900.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49780800.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,50085700.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49675900.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49477600.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49593900.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49866600.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49786200.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49580300.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49598800.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49434200.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49676300.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49370800.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,50306000.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49634300.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,49463000.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,55367300.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,51170100.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,51606700.0,ns,9
benchmarks,create_data_item,1048576,1048576,bytes,52299500.0,ns,9
